Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04
Bacteria,Patescibacteria,Microgenomatia,*Candidatus_Woesebacteria*,770,180,170,140
Bacteria,Desulfobacterota,Class of Desulfobacterota,*Order* (*of*) Desulfobacterota,0,910,0,280
Bacteria,Patescibacteria,Gracilibacteria,*JGI_0000069-P22*,1120,0,0,0
Bacteria,Acidobacteriota,Blastocatellia,*11-24*,0,1090,0,0
Bacteria,Acidobacteriota,Holophagae,*Subgroup_7*,560,0,530,0
Bacteria,Planctomycetota,BD7-11,*BD7-11*,280,740,0,0
Bacteria,Patescibacteria,Gracilibacteria,*Absconditabacteriales_(SR1)*,630,300,0,0
Bacteria,Actinobacteriota,Actinobacteria,*Bifidobacteriales*,510,400,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*EC3*,0,0,870,0
Bacteria,Firmicutes,Bacilli,*RF39*,0,850,0,0
Bacteria,Bdellovibrionota,Oligoflexia,*Silvanigrellales*,0,840,0,0
Bacteria,Desulfobacterota,Syntrophia,*Syntrophales*,840,0,0,0
Bacteria,Firmicutes,Bacilli,*Bacillales*,310,430,0,0
Bacteria,Chloroflexi,OLB14,*OLB14*,0,730,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Tistrellales*,420,310,0,0
Bacteria,Patescibacteria,Berkelbacteria,*Berkelbacteria*,700,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,*PeM15*,0,610,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*NRL2*,0,610,0,0
Bacteria,Chloroflexi,KD4-96,*KD4-96*,0,0,580,0
Bacteria,NB1-j,NB1-j,*NB1-j*,0,250,330,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Dongiales*,40,140,170,220
Bacteria,Armatimonadota,Class of Armatimonadota,*Order* (*of*) Armatimonadota,0,130,430,0
Bacteria,Patescibacteria,CPR2,*CPR2*,560,0,0,0
Bacteria,Spirochaetota,MVP-15,*MVP-15*,560,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,*Kineosporiales*,0,0,510,0
Bacteria,Dadabacteria,Dadabacteriia,*Dadabacteriales*,0,490,0,0
Bacteria,Verrucomicrobiota,Lentisphaeria,*SS1-B-02-17*,0,480,0,0
Bacteria,Cyanobacteria,Vampirivibrionia,*Caenarcaniphilales*,0,0,430,0
Bacteria,Actinobacteriota,Coriobacteriia,*Coriobacteriales*,340,80,0,0
Bacteria,Myxococcota,Polyangia,*Order* (*of*) Polyangia,420,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Lloydbacteria*,420,0,0,0
Bacteria,Spirochaetota,Spirochaetia,*Spirochaetales*,420,0,0,0
Bacteria,Desulfobacterota,Desulfobacteria,*Desulfobacterales*,0,370,0,0
Bacteria,Firmicutes,Desulfitobacteriia,*Desulfitobacteriales*,220,100,0,50
Bacteria,Myxococcota,bacteriap25,*bacteriap25*,0,370,0,0
Bacteria,Planctomycetota,028H05-P-BN-P5,*028H05-P-BN-P5*,0,370,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Elev-16S-1166*,0,360,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Arenicellales*,0,360,0,0
Bacteria,Actinobacteriota,Actinobacteria,*Frankiales*,0,40,300,0
Bacteria,Firmicutes,Desulfotomaculia,*Desulfotomaculales*,70,100,150,0
Bacteria,Cyanobacteria,Cyanobacteriia,*Limnotrichales*,280,0,0,0
Bacteria,Firmicutes,Bacilli,*Izemoplasmatales*,280,0,0,0
Bacteria,Modulibacteria,Moduliflexia,*Moduliflexales*,280,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Jorgensenbacteria*,280,0,0,0
Bacteria,Planctomycetota,vadinHA49,*vadinHA49*,280,0,0,0
Bacteria,Chloroflexi,Chloroflexia,*Chloroflexales*,0,260,0,0
Bacteria,Actinobacteriota,Actinobacteria,*Pseudonocardiales*,0,250,0,0
Bacteria,Cyanobacteria,Vampirivibrionia,*Vampirovibrionales*,0,250,0,0
Bacteria,Fibrobacterota,Chitinivibrionia,*Chitinivibrionales*,0,250,0,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,*Methylacidiphilales*,0,250,0,0
Bacteria,Firmicutes,Clostridia,*Clostridia_UCG-014*,240,0,0,0
Bacteria,Firmicutes,Clostridia,*Eubacteriales*,0,240,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Chromatiales*,0,240,0,0
Bacteria,Firmicutes,Clostridia,*Order* (*of*) Clostridia,0,190,30,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Tenderiales*,0,200,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,*Woesearchaeales*,0,180,0,0
Bacteria,Bacteroidota,Bacteroidia,*Bacteroidetes_VC2.1_Bac22*,0,180,0,0
Bacteria,Firmicutes,Symbiobacteriia,*Symbiobacteriales*,0,180,0,0
Bacteria,Planctomycetota,Planctomycetes,*Order* (*of*) Planctomycetes,0,180,0,0
Bacteria,Firmicutes,Bacilli,*Paenibacillales*,0,140,30,0
Bacteria,Firmicutes,Clostridia,*Caldicoprobacterales*,0,160,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Francisellales*,0,160,0,0
Bacteria,Armatimonadota,Fimbriimonadia,*Fimbriimonadales*,0,130,0,0
Bacteria,Firmicutes,Clostridia,*Peptococcales*,0,100,0,0
Bacteria,Firmicutes,Class of Firmicutes,*Order* (*of*) Firmicutes,0,0,0,80
Bacteria,Firmicutes,Syntrophomonadia,*Syntrophomonadales*,0,70,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Kiloniellales*,0,70,0,0
Bacteria,Acidobacteriota,Acidobacteriae,*Order* (*of*) Acidobacteriae,0,60,0,0
