Kingdom,Phylum,Class,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Spirochaetota,*Leptospirae*,4000,0,0,0,8000,0
Bacteria,Caldatribacteriota,*JS1*,2000,9000,0,0,0,0
Bacteria,Armatimonadota,*Chthonomonadetes*,2000,0,0,8000,0,0
Bacteria,Cyanobacteria,*Sericytochromatia*,2000,0,8000,0,0,0
Bacteria,Firmicutes,*Clostridia*,3000,6000,0,0,0,0
Bacteria,Gemmatimonadota,*Gemmatimonadetes*,9000,0,0,0,0,0
Archaea,Crenarchaeota,*Nitrososphaeria*,7000,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfobaccia*,7000,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfuromonadia*,7000,0,0,0,0,0
Bacteria,MBNT15,*MBNT15*,7000,0,0,0,0,0
Bacteria,Chloroflexi,*TK10*,6000,0,0,0,0,0
Bacteria,Sumerlaeota,*Sumerlaeia*,6000,0,0,0,0,0
Bacteria,Armatimonadota,*Class* (*of*) Armatimonadota,5000,0,0,0,0,0
Bacteria,Bacteroidota,*Kapabacteria*,5000,0,0,0,0,0
Bacteria,Bacteroidota,*Kryptonia*,4000,0,0,0,0,0
Bacteria,Desulfobacterota,*Syntrophia*,4000,0,0,0,0,0
Bacteria,Latescibacterota,*Latescibacteria*,4000,0,0,0,0,0
Bacteria,Margulisbacteria,*Margulisbacteria*,4000,0,0,0,0,0
Bacteria,Methylomirabilota,*Methylomirabilia*,4000,0,0,0,0,0
Bacteria,NB1-j,*NB1-j*,4000,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfobacteria*,3000,0,0,0,0,0
Bacteria,Hydrogenedentes,*Hydrogenedentia*,3000,0,0,0,0,0
Bacteria,Planctomycetota,*028H05-P-BN-P5*,3000,0,0,0,0,0
Bacteria,Bacteroidota,*Class* (*of*) Bacteroidota,2000,0,0,0,0,0
Bacteria,Nitrospirota,*Leptospirillia*,2000,0,0,0,0,0
Archaea,Aenigmarchaeota,*Deep_Sea_Euryarchaeotic_Group(DSEG)*,1000,0,0,0,0,0
Archaea,Halobacterota,*ANME-1*,1000,0,0,0,0,0
Archaea,Halobacterota,*Methanomicrobia*,1000,0,0,0,0,0
Bacteria,Acidobacteriota,*Aminicenantia*,1000,0,0,0,0,0
Bacteria,Acidobacteriota,*Thermoanaerobaculia*,1000,0,0,0,0,0
Bacteria,Actinobacteriota,*Class* (*of*) Actinobacteriota,1000,0,0,0,0,0
Bacteria,Armatimonadota,*Fimbriimonadia*,1000,0,0,0,0,0
Bacteria,Campilobacterota,*Campylobacteria*,1000,0,0,0,0,0
Bacteria,Chloroflexi,*Chloroflexia*,1000,0,0,0,0,0
Bacteria,Chloroflexi,*Class* (*of*) Chloroflexi,1000,0,0,0,0,0
Bacteria,Desulfobacterota,*Desulfobulbia*,1000,0,0,0,0,0
Bacteria,Elusimicrobiota,*4-29*,1000,0,0,0,0,0
Bacteria,Elusimicrobiota,*Class* (*of*) Elusimicrobiota,1000,0,0,0,0,0
Bacteria,Nitrospinota,*P9X2b3D02*,1000,0,0,0,0,0
Bacteria,Patescibacteria,*ABY1*,1000,0,0,0,0,0
Bacteria,TA06,*TA06*,1000,0,0,0,0,0
Bacteria,WOR-1,*WOR-1*,1000,0,0,0,0,0
Bacteria,Firmicutes,*Thermacetogenia*,0,0,0,0,0,0
Bacteria,NKB15,*NKB15*,0,0,0,0,0,0
