Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Comamonadaceae*,603000,120120000,13893000,670164000,36704000,272626000
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,*Pseudomonadaceae*,47000,3748000,156294000,68124000,101400000,484000
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,*Alteromonadaceae*,154000,1314000,238321000,68735000,2144000,1314000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Methylophilaceae*,56000,335000,3177000,2848000,114871000,476000
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,*Moraxellaceae*,13000,112000,5884000,49988000,132000,91000
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,*Vicinamibacteraceae*,1771000,1395000,2449000,2151000,1337000,1253000
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Flavobacteriaceae*,16000,32000,6020000,126000,25000,30000
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,*Sphingomonadaceae*,45000,757000,827000,1492000,2616000,509000
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*Woesearchaeales*,508000,718000,1486000,792000,1010000,1543000
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*Omnitrophaceae*,1579000,1238000,926000,678000,598000,772000
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*Omnitrophales*,2228000,538000,1433000,620000,367000,493000
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Zambryskibacteria,*Candidatus_Zambryskibacteria*,1120000,664000,1038000,899000,428000,141000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Rhodocyclaceae*,29000,1401000,881000,587000,246000,203000
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*SM2D12*,548000,550000,696000,519000,410000,352000
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,*Caulobacteraceae*,13000,52000,2349000,157000,380000,20000
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,*Nitrospiraceae*,699000,334000,737000,393000,340000,270000
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,*Family* (*of*) Vicinamibacterales,581000,166000,674000,621000,365000,285000
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,*Micrococcaceae*,63000,205000,303000,925000,766000,359000
Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,*Microcystaceae*,904000,572000,723000,145000,146000,119000
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,*Bdellovibrionaceae*,873000,147000,546000,206000,153000,134000
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,*Weeksellaceae*,57000,141000,385000,543000,531000,218000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Nitrosomonadaceae*,348000,269000,297000,380000,222000,137000
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,*Pirellulaceae*,256000,197000,392000,245000,284000,211000
Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,*Propionibacteriaceae*,24000,122000,215000,504000,364000,158000
Bacteria,Elusimicrobiota,Lineage_IIc,Lineage_IIc,*Lineage_IIc*,431000,153000,387000,290000,0,58000
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,*Family* (*of*) Micavibrionales,236000,172000,264000,185000,196000,141000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,*Rhodospirillaceae*,187000,263000,234000,152000,118000,222000
Bacteria,Elusimicrobiota,Lineage_IIa,Lineage_IIa,*Lineage_IIa*,291000,90000,352000,176000,135000,81000
Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,*0319-6G20*,337000,135000,215000,64000,32000,93000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*Gallionellaceae*,164000,59000,225000,202000,100000,98000
Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,*Caenarcaniphilales*,109000,167000,180000,175000,106000,93000
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*SCGC_AAA011-D5*,51000,122000,83000,89000,252000,62000
Bacteria,Patescibacteria,Parcubacteria,Parcubacteria,*Parcubacteria*,99000,129000,111000,179000,94000,37000
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,*Candidatus_Kaiserbacteria*,155000,127000,63000,230000,26000,43000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*A0839*,79000,94000,138000,139000,63000,109000
Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,*Methanoperedenaceae*,106000,45000,146000,52000,118000,146000
Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,*Family* (*of*) Methanofastidiosales,88000,36000,214000,65000,106000,55000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,*Rhodobacteraceae*,76000,117000,111000,136000,85000,39000
Archaea,Hadarchaeota,Hadarchaeia,Hadarchaeia,*Hadarchaeales*,43000,95000,186000,65000,67000,69000
Archaea,Crenarchaeota,Bathyarchaeia,Bathyarchaeia,*Bathyarchaeia*,26000,158000,72000,40000,111000,114000
Archaea,Aenigmarchaeota,Aenigmarchaeia,Aenigmarchaeales,*Aenigmarchaeales*,30000,167000,140000,0,106000,77000
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,*Chitinophagaceae*,70000,121000,28000,140000,62000,87000
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,*Schlesneriaceae*,60000,91000,123000,53000,87000,70000
Bacteria,Patescibacteria,Parcubacteria,Order of Parcubacteria,*Family* (*of*) Parcubacteria,101000,207000,68000,60000,13000,22000
Bacteria,Planctomycetota,OM190,OM190,*OM190*,274000,9000,158000,0,0,27000
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*Sphingobacteriaceae*,155000,12000,140000,82000,49000,26000
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*TRA3-20*,122000,87000,85000,93000,13000,52000
Bacteria,Cyanobacteria,Vampirivibrionia,Vampirovibrionales,*Vampirovibrionales*,74000,112000,171000,30000,25000,31000
Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),*Absconditabacteriales_(SR1)*,58000,25000,118000,78000,104000,39000
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,*Hyphomonadaceae*,50000,76000,106000,122000,0,64000
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*env.OPS_17*,131000,46000,108000,51000,39000,28000
Bacteria,Planctomycetota,BD7-11,BD7-11,*BD7-11*,84000,47000,133000,51000,35000,52000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Hyphomicrobiaceae*,74000,146000,89000,57000,0,35000
Bacteria,BHI80-139,BHI80-139,BHI80-139,*BHI80-139*,38000,53000,102000,108000,37000,58000
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,*Corynebacteriaceae*,5000,42000,91000,152000,50000,54000
Bacteria,Myxococcota,bacteriap25,bacteriap25,*bacteriap25*,120000,28000,106000,59000,45000,32000
Archaea,Iainarchaeota,Iainarchaeia,Iainarchaeales,*Iainarchaeales*,10000,82000,35000,0,88000,165000
Bacteria,Gemmatimonadota,BD2-11_terrestrial_group,BD2-11_terrestrial_group,*BD2-11_terrestrial_group*,45000,59000,90000,94000,42000,44000
Bacteria,Chloroflexi,JG30-KF-CM66,JG30-KF-CM66,*JG30-KF-CM66*,83000,70000,118000,14000,81000,0
Bacteria,Chloroflexi,Dehalococcoidia,Order of Dehalococcoidia,*Family* (*of*) Dehalococcoidia,53000,145000,63000,58000,17000,24000
Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,*Entotheonellaceae*,136000,14000,82000,58000,0,65000
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,*Micavibrionaceae*,71000,79000,77000,45000,32000,43000
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,*Family* (*of*) Planctomycetales,73000,55000,63000,73000,36000,43000
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*Family* (*of*) Omnitrophales,164000,36000,0,75000,13000,51000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,*Family* (*of*) Rhodospirillales,91000,50000,99000,21000,35000,30000
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,*Candidatus_Peregrinibacteria*,68000,53000,105000,21000,42000,35000
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,*Candidatus_Adlerbacteria*,17000,113000,28000,110000,21000,30000
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,*Candidatus_Nomurabacteria*,109000,95000,0,44000,20000,45000
Bacteria,Planctomycetota,Planctomycetes,Gemmatales,*Gemmataceae*,66000,75000,37000,65000,50000,19000
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,*Parvularculaceae*,35000,72000,71000,72000,0,41000
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,*Obscuribacteraceae*,40000,96000,0,46000,8000,93000
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*GW2011_GWC1_47_15*,18000,103000,0,0,99000,61000
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Xanthobacteraceae*,48000,78000,29000,42000,42000,38000
Bacteria,Planctomycetota,Phycisphaerae,S-70,*S-70*,114000,17000,42000,49000,30000,16000
Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,*PLTA13*,25000,35000,70000,54000,0,55000
Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,*Diplorickettsiaceae*,52000,30000,62000,36000,21000,30000
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,*Xanthomonadaceae*,3000,0,0,182000,24000,22000
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,*Holosporaceae*,30000,58000,86000,16000,5000,32000
Bacteria,Dependentiae,Babeliae,Babeliales,*Babeliales*,87000,0,87000,21000,28000,0
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,*Anaerolineaceae*,10000,23000,63000,62000,23000,40000
Bacteria,Elusimicrobiota,Elusimicrobia,Lineage_IV,*Lineage_IV*,60000,82000,36000,0,0,40000
Bacteria,Chloroflexi,Dehalococcoidia,S085,*S085*,42000,90000,0,21000,50000,10000
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*KD3-93*,68000,9000,57000,44000,22000,12000
Bacteria,Sva0485,Sva0485,Sva0485,*Sva0485*,42000,42000,69000,0,34000,11000
Bacteria,RCP2-54,RCP2-54,RCP2-54,*RCP2-54*,41000,23000,56000,37000,12000,22000
Bacteria,Proteobacteria,Gammaproteobacteria,Order of Gammaproteobacteria,*Family* (*of*) Gammaproteobacteria,65000,56000,20000,8000,26000,12000
Bacteria,Firmicutes,Bacilli,Staphylococcales,*Staphylococcaceae*,4000,14000,41000,65000,38000,23000
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*Simkaniaceae*,51000,31000,34000,44000,0,23000
Bacteria,Elusimicrobiota,Lineage_IIb,Lineage_IIb,*Lineage_IIb*,117000,34000,0,0,0,26000
Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,*Bacteriovoracaceae*,75000,18000,43000,14000,0,19000
Bacteria,Proteobacteria,Alphaproteobacteria,Order of Alphaproteobacteria,*Family* (*of*) Alphaproteobacteria,56000,71000,22000,0,14000,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,*Candidatus_Azambacteria*,82000,18000,15000,16000,12000,15000
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peribacteria,*Candidatus_Peribacteria*,62000,12000,49000,0,25000,8000
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,*Pedosphaeraceae*,76000,45000,35000,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,*Microscillaceae*,27000,32000,14000,50000,9000,11000
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Rickettsiaceae*,95000,23000,0,0,25000,0
Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,*Subgroup_17*,50000,0,63000,0,0,18000
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*Family* (*of*) Woesearchaeales,15000,0,55000,8000,18000,31000
Bacteria,Chloroflexi,Anaerolineae,SBR1031,*A4b*,9000,0,27000,66000,0,15000
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,*Dadabacteriales*,12000,23000,29000,35000,18000,0
Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,*JGI_0000069-P22*,24000,26000,62000,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Labraceae*,35000,39000,0,0,38000,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*NS11-12_marine_group*,36000,18000,16000,16000,9000,14000
Bacteria,Chloroflexi,Dehalococcoidia,Dehalococcoidales,*Family* (*of*) Dehalococcoidales,7000,55000,0,20000,0,23000
Bacteria,Nitrospirota,Thermodesulfovibrionia,Order of Thermodesulfovibrionia,*Family* (*of*) Thermodesulfovibrionia,11000,17000,0,62000,0,15000
Bacteria,Patescibacteria,Microgenomatia,Candidatus_Woesebacteria,*Candidatus_Woesebacteria*,8000,23000,0,37000,0,31000
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,*Legionellaceae*,18000,21000,42000,8000,9000,0
Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,*koll11*,43000,34000,21000,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,*Alcanivoracaceae*,8000,25000,64000,0,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*GW2011*,0,0,0,0,0,96000
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,*Paracaedibacteraceae*,55000,18000,22000,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,*Coxiellaceae*,22000,6000,50000,0,17000,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*SCGC_AAA286-E23*,10000,20000,36000,15000,12000,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*Family* (*of*) Sphingobacteriales,62000,31000,0,0,0,0
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,*67-14*,17000,0,0,45000,29000,0
Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),*SAR324_clade(Marine_group_B)*,50000,15000,8000,0,5000,12000
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Family* (*of*) Rickettsiales,18000,20000,50000,0,0,0
